Floor,Level name,Elevation,Rotation deg,Space ID,Space name,Type,Department,Qty,Unit area,Total area,Occupants,Local X,Local Y,World X,World Y,World Z,Radius,Daylight,Locked,Hand-placed,Stack group
0,Ground — Shared & Early Years,0.000,0,1000,Entry / Lobby 101,Entry / Lobby,Circulation,1,120.00,120.00,40,11.523,-6.175,11.523,-6.175,0.000,6.180,yes,no,no,
0,Ground — Shared & Early Years,0.000,0,1001,Administration 101,Administration,Support,1,130.00,130.00,14,18.901,2.366,18.901,2.366,0.000,6.433,yes,no,no,
0,Ground — Shared & Early Years,0.000,0,1002,Health / Counseling 101,Health / Counseling,Support,1,48.00,48.00,6,9.361,5.065,9.361,5.065,0.000,3.909,yes,no,no,
0,Ground — Shared & Early Years,0.000,0,1003,Staff / Workroom 101,Staff / Workroom,Support,1,70.00,70.00,20,20.129,11.646,20.129,11.646,0.000,4.720,yes,no,no,
0,Ground — Shared & Early Years,0.000,0,1004,Gymnasium 101,Gymnasium,Commons,1,430.00,430.00,120,9.269,22.279,9.269,22.279,0.000,11.699,no,no,no,
0,Ground — Shared & Early Years,0.000,0,1005,Stage / Assembly 101,Stage / Assembly,Commons,1,110.00,110.00,60,-9.296,30.319,-9.296,30.319,0.000,5.917,no,no,no,
0,Ground — Shared & Early Years,0.000,0,1006,Cafeteria / Commons 101,Cafeteria / Commons,Commons,1,300.00,300.00,200,-15.880,8.159,-15.880,8.159,0.000,9.772,yes,no,no,
0,Ground — Shared & Early Years,0.000,0,1007,Kitchen / Servery 101,Kitchen / Servery,Commons,1,120.00,120.00,8,-22.867,-16.716,-22.867,-16.716,0.000,6.180,no,no,no,
0,Ground — Shared & Early Years,0.000,0,1008,Kindergarten 101,Kindergarten,Learning,1,96.00,96.00,24,-13.759,-8.082,-13.759,-8.082,0.000,5.528,yes,no,no,
0,Ground — Shared & Early Years,0.000,0,1009,Kindergarten 102,Kindergarten,Learning,1,96.00,96.00,24,-12.437,-30.310,-12.437,-30.310,0.000,5.528,yes,no,no,
0,Ground — Shared & Early Years,0.000,0,1010,Kindergarten 103,Kindergarten,Learning,1,96.00,96.00,24,-0.215,-28.956,-0.215,-28.956,0.000,5.528,yes,no,no,
0,Ground — Shared & Early Years,0.000,0,1011,Kindergarten 104,Kindergarten,Learning,1,96.00,96.00,24,11.303,-32.211,11.303,-32.211,0.000,5.528,yes,no,no,
0,Ground — Shared & Early Years,0.000,0,1012,Kindergarten 105,Kindergarten,Learning,1,96.00,96.00,24,-7.701,-18.950,-7.701,-18.950,0.000,5.528,yes,no,no,
0,Ground — Shared & Early Years,0.000,0,1013,Toilet Group 101,Toilet Group,Support,1,44.00,44.00,0,16.914,-24.733,16.914,-24.733,0.000,3.742,no,no,no,
0,Ground — Shared & Early Years,0.000,0,1014,Toilet Group 102,Toilet Group,Support,1,44.00,44.00,0,1.800,-15.905,1.800,-15.905,0.000,3.742,no,no,no,
0,Ground — Shared & Early Years,0.000,0,1015,Storage / Support 101,Storage / Support,Support,1,38.00,38.00,0,25.415,-25.103,25.415,-25.103,0.000,3.478,no,no,no,
0,Ground — Shared & Early Years,0.000,0,1016,Storage / Support 102,Storage / Support,Support,1,38.00,38.00,0,12.751,-14.813,12.751,-14.813,0.000,3.478,no,no,no,
0,Ground — Shared & Early Years,0.000,0,1017,Mech / Electrical 101,Mech / Electrical,Support,1,56.00,56.00,0,23.992,-5.741,23.992,-5.741,0.000,4.222,no,no,no,
0,Ground — Shared & Early Years,0.000,0,1018,Outdoor Learning 101,Outdoor Learning,Outdoor,1,130.00,130.00,30,5.743,2.833,5.743,2.833,0.000,6.433,yes,no,no,
0,Ground — Shared & Early Years,0.000,0,1060,Stair 01 + Lift,Vertical Core,Circulation,1,58.00,58.00,0,8.227,-21.567,8.227,-21.567,0.000,4.297,no,no,no,core0
0,Ground — Shared & Early Years,0.000,0,1063,Stair 02 + Lift,Vertical Core,Circulation,1,58.00,58.00,0,21.827,-16.767,21.827,-16.767,0.000,4.297,no,no,no,core1
0,Ground — Shared & Early Years,0.000,0,1066,Service Core + Risers,Vertical Core,Circulation,1,58.00,58.00,0,20.227,-9.567,20.227,-9.567,0.000,4.297,no,no,no,core2
1,Level 01 — Lower Grades,4.200,40,1019,General Classroom 201,General Classroom,Learning,1,74.00,74.00,26,13.432,-11.208,17.791,0.629,4.200,4.853,yes,no,no,
1,Level 01 — Lower Grades,4.200,40,1020,General Classroom 202,General Classroom,Learning,1,74.00,74.00,26,17.665,-2.337,15.331,10.145,4.200,4.853,yes,no,no,
1,Level 01 — Lower Grades,4.200,40,1021,General Classroom 203,General Classroom,Learning,1,74.00,74.00,26,9.141,4.342,4.509,9.783,4.200,4.853,yes,no,no,
1,Level 01 — Lower Grades,4.200,40,1022,General Classroom 204,General Classroom,Learning,1,74.00,74.00,26,5.693,13.948,-4.308,14.925,4.200,4.853,yes,no,no,
1,Level 01 — Lower Grades,4.200,40,1023,General Classroom 205,General Classroom,Learning,1,74.00,74.00,26,14.184,8.513,5.691,16.220,4.200,4.853,yes,no,no,
